title,company,location,link,description,searched_for,experience_level_filter,days_back,scraped_at
Graduate Engineering Trainee,Adani Electricity,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/graduate-engineering-trainee-at-adani-electricity-4309114548?position=1&pageNum=0&refId=YIkHsSW3vmwYfau3yNvjVg%3D%3D&trackingId=9xsNwAxqNoeZcZQfDJ1y8A%3D%3D,"About Business JOB DESCRIPTION Adani Group: Adani Group is a diversified organisation in India comprising 10 publicly traded companies. It has created a world-class logistics and utility infrastructure portfolio that has a pan-India presence. Adani Group is headquartered in Ahmedabad, in the state of Gujarat, India. Over the years, Adani Group has positioned itself to be the market leader in its logistics and energy businesses focusing on large-scale infrastructure development in India with O & M practices benchmarked to global standards. With four IG-rated businesses, it is the only Infrastructure Investment Grade issuer in India.Adani Energy Solutions Limited: Adani Energy Solutions Limited (AESL) is a leading player in India’s power transmission and energy infrastructure sector, enabling seamless and efficient energy flow across the nation. With a strong presence in both operational and under-construction projects, AESL manages over 20,000 circuit kilometers of transmission lines and substations. As a part of the Adani Group, AESL is driven by the philosophy of #GrowthWithGoodness, aiming to build a sustainable and resilient energy future. Through digital innovation, smart grid deployment, and a commitment to ESG excellence, AESL plays a vital role in strengthening India’s energy security and powering inclusive growth.Job Purpose: The Divisional Incharge (Projects)-SM plays a critical role in driving business development activities within the Smart Metering domain. This includes identifying and pursuing new opportunities, supporting project execution, and contributing to the development and implementation of innovative solutions. By leveraging market insights and fostering strong collaboration with stakeholders, this role ensures the successful expansion of the Smart Metering business while aligning with organizational goals for growth and innovation.ResponsibilitiesDivisional Incharge (Projects)-SMOperational ExcellenceMaximize project value by developing cost-effective and competitive bids that align with business objectives, ensuring proposals deliver measurable returns.Drive project completion by monitoring progress of Smart Metering projects, including MSEDCL Package 6, to meet quality benchmarks, timelines, and budgetary goals.Governance, Compliance, And Risk ManagementEnsure organizational integrity by enforcing compliance with regulatory and internal standards during project bidding and execution, reducing operational risks.Minimize project vulnerabilities by analyzing competitive market trends and integrating risk mitigation strategies, ensuring sustainable and secure implementation.Technology And InnovationElevate project outcomes by leading the adoption of Integrated Project Management Software, enhancing transparency and operational efficiency in Smart Metering workflows.Drive business innovation by collaborating with the AMI Strategy team to design Smart Metering solutions that align with emerging market trends and business growth objectives.Stakeholder ManagementAlign cross-functional teams by facilitating collaboration, resolving operational challenges, and ensuring project strategies are implemented effectively to meet organizational objectives.Strengthen partnerships with DISCOMs, utilities, vendors, and regulatory authorities by fostering transparent communication, defining clear deliverables, and ensuring compliance with project requirements to achieve seamless execution.Key Stakeholders - InternalProject DepartmentFinance DepartmentCompliance and Risk Management DepartmentIT/Technology DepartmentOperations DepartmentCustomer Service DepartmentProcurement and Supply Chain DepartmentSafety and Quality Assurance DepartmentHuman Resources DepartmentSmart Metering Tender DepartmentKey Stakeholders - ExternalGovernment and Regulatory BodiesVendorsQualificationsEducational Qualification:BE Electrical / Mechanical / ElectronicsMBA PrefferedWork Experience (Range Of Years)0-5 years
        


        
            Show more
          

          



        
            Show less",Junior Electrical Engineer,Entry Level,7,2025-10-08 15:06:08
Graduate Electrical Engineer,BHARAT RESEARCHERS CLOUD,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/graduate-electrical-engineer-at-bharat-researchers-cloud-4308556951?position=2&pageNum=0&refId=YIkHsSW3vmwYfau3yNvjVg%3D%3D&trackingId=T6ru7%2B2eUnQTOfKOp6e64w%3D%3D,"Company DescriptionBharat Researchers Cloud, based in Bengaluru, is dedicated to R&D and building the largest digital platform for the Research and Innovation Sector called BHARC PLATFORM. Our mission is to foster collaboration, knowledge sharing, and meaningful connections within various domains. We aim to provide 1,000 opportunities in the next two years, focusing on job creation, R&D, and entrepreneurship. BHARC is an innovative platform designed to bridge the gap between institutions, organizations, industries, and individuals by showcasing research work and facilitating networking and collaboration.Role DescriptionThis is a full-time hybrid role for a Graduate Electrical Engineer based in Bengaluru. The Graduate Electrical Engineer will be responsible for tasks related to electrical design, power systems, and power distribution. This role entails daily activities such as designing electrical systems, analyzing electricity usage, and developing solutions for efficient power distribution. While the primary location is in Bengaluru, some work from home is acceptable.QualificationsElectrical Design and Electrical Engineering skillsKnowledge of Electricity and Power SystemsExperience in Power DistributionStrong analytical and problem-solving skillsBachelor's degree in Electrical Engineering or related fieldEffective communication and teamwork skillsAbility to work both independently and as part of a teamRoles and Responsibilities:1.Collaborate on Project TasksAssist in designing, developing, and testing project components.Work under the guidance of senior engineers or project leads to learn best practices.2.Research and DocumentationConduct research on relevant technologies or methodologies.Document findings, processes, and project progress regularly.3.Problem-Solving and InnovationContribute fresh ideas and solutions to improve project outcomes.Take part in brainstorming sessions and team discussions.4.Learning and Skill EnhancementShow initiative in learning new tools, frameworks, or processes.Seek feedback from mentors and proactively work on personal development



        
            Show more
          

          



        
            Show less",Junior Electrical Engineer,Entry Level,7,2025-10-08 15:06:15
Field Executive Trainee-Electrical DMD ( 82314310 ),Reliance Industries Limited,"Bharuch, Gujarat, India",https://in.linkedin.com/jobs/view/field-executive-trainee-electrical-dmd-82314310-at-reliance-industries-limited-4308578338?position=3&pageNum=0&refId=YIkHsSW3vmwYfau3yNvjVg%3D%3D&trackingId=cpSi6mUKgUSGB51xyDs31A%3D%3D,"Job Responsibilities :Abide by safe operating procedures within operating rangeAct as first responder to emergenciesSuggest safety improvementsSafe handling of hazardous materials and plant wastes Contribute to housekeepingSupport contract workmen on safe workingMonitor and control field equipment as per SOPs,SOCs,LLF checklist and ODR instrumentsCoordinate closely with shift superintendent/panel executiveCollect and deliver samples from the field for laboratory testingReport promptly any abnormal observations to shift engineer /panel executiveHandover / takeover of equipment from maintenancePerform condition monitoring using portable instruments (ODR)Perform minor troubleshootingPerform minor maintenanceTo contribute towards reduction of waste /handling of chemicalsTo operate equipment efficientlyIdentify and suggest opportunities for improvementFollowing latest safety guidelines, management guide line like, TQM, EFQM, QCC, 5S etc.Maintain shift logs for respective area /equipmentFollow instructions received from shift superintendent /engineer /panel officerMember of Auxiliary Fire SquadEducation Requirement :B.Sc. / M. Sc. or Diploma in Chemical EngineeringExperience Requirement :NASkills & Competencies :Good housekeepingUpkeep of Fire and Safety equipment in his areaField logbook / LLF checklistSegregation of wasteMaintain equipment health through LLF and report equipment abnormalityFulfillment of identified training needs for self
        


        
            Show more
          

          



        
            Show less",Junior Electrical Engineer,Entry Level,7,2025-10-08 15:06:22
Electronics Engineering Internship in Bangalore,BeePrecise,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/electronics-engineering-internship-in-bangalore-at-beeprecise-4311737959?position=4&pageNum=0&refId=YIkHsSW3vmwYfau3yNvjVg%3D%3D&trackingId=IXzGmDdj5XcQoIk4qgMlzg%3D%3D,"Hardware Development: Design electronic hardware, focusing on architecture, circuit design, and PCB layouts using KiCad, ensuring functionality and optimization. PCB Layout: Design and refine PCB layouts with DFT and DFM principles, ensuring quality and functionality while collaborating with engineers. Testing and Debugging: Test and debug hardware using lab instruments. Conduct bring-up sessions for GSM, LTE, and MCU PCBs, troubleshooting independently. RF System Design: Design RF communication systems, integrating components as per specs. Collaborate with firmware engineers during testing to validate performance. Documentation: Document design changes, testing procedures, and results. Prepare clear, concise reports summarizing findings and modifications. BOM Management: Manage BOMs, ensuring component availability. Oversee procurement and vendor interactions for inventory maintenance. Protocol Implementation: Implement protocols like SPI, I2C, I2S, and UART. Integrate IoT technologies and sensors for connectivity and compatibility. On-Site Testing: Lead on-site hardware installations and testing, ensuring system integration and troubleshooting during site visits. Vendor Management: Build vendor relationships for component sourcing. Track and manage inventory, ensuring accuracy and availability. Product Design: Contribute to product design, making improvements during development. Participate in meetings, providing insights based on design experience. Collaboration: Document tasks and report progress clearly. Work with the team to solve problems, promoting an efficient work environment.About Company: BeePrecise is the flagship innovation of Ecosight Technology Private Limited, a startup in the agritech and cleantech sector. Our mission is to blend cutting-edge technology with agricultural practices, revolutionizing them for the modern world.BeePrecise is our flagship product, a smart beehive monitoring system that utilizes IoT and AI to provide real-time data and predictive analytics on hive health. This system transforms beekeeping by enabling proactive hive management, optimizing pollination, and enhancing agricultural productivity. We are seeking passionate individuals eager to contribute to this blend of agritech and enterprise SaaS, driving sustainability and efficiency in agriculture and empowering the ecosystem as a whole.Website: http://beeprecise.io/
        


        
            Show more
          

          



        
            Show less",Junior Electrical Engineer,Entry Level,7,2025-10-08 15:06:28
"Apprentice Trainee, Electronics Engineer",Valmet,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/apprentice-trainee-electronics-engineer-at-valmet-4311120056?position=5&pageNum=0&refId=YIkHsSW3vmwYfau3yNvjVg%3D%3D&trackingId=hXSLpL9GaTJP%2Ftysr8EpfA%3D%3D,"We are looking for Apprentice Trainee (Electronic Engineering) In this position, you will extend your support in various functions of the Supply Centre for the delivery of Valmet DNA Distributed Control Systems (DCS) likeSupport in Supply Center activities related to Store Management,Participate in the FAT area planningParticipation in Integration and testing of the DCS.Participate in Quality Checks and follow-upProficiency in Excel will be an added advantageEducational QualificationsThree-Year Diploma in Electrical / Electronics / Instrumentation or related field from a recognized state technical board or equivalent.Stipend : INR 19000 per month
        


        
            Show more
          

          



        
            Show less",Junior Electrical Engineer,Entry Level,7,2025-10-08 15:06:39
Apprentice,Cushman & Wakefield,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/apprentice-at-cushman-wakefield-4253504973?position=6&pageNum=0&refId=YIkHsSW3vmwYfau3yNvjVg%3D%3D&trackingId=Y2h6oca2zRcPAfl3e58GHg%3D%3D,"Job TitleApprenticeJob Description SummaryJob DescriptionApprenticeship Program: Project Development Service Location: Bangalore, Chennai & BhopalThe Apprenticeship Program at Cushman & Wakefield is a Training Program initiated by the Central Government of India. Being a part of this program ensures quality training and responsibilities that will help you gain on-the-job experience.ResponsibilitiesAssist in design, drawings, and development: Assist senior engineers in reviewing designing basis report, drawings, developing, and implementing in projects.Conduct site inspections: Conduct site inspections to monitor progress in daily basis and ensure compliance with safety regulations.Prepare reports and documents: Prepare daily progress reports, documents, and presentations to communicate project progress.Collaborate with teams: Collaborate with cross-functional teams, including architects, contractors, and other stakeholders.Develop project management skills: Develop project management skills, including scheduling, budgeting, and resource allocation.Stay updated with industry trends: Stay updated with industry trends, best practices, and new technologies and machineries.Assist in testing and commissioning: Assist in testing and commissioning of civil, electrical & mechanical engineering systems.Participate in training and development programs: Participate in training and development programs to enhance skills and knowledge.Maintain a safe and healthy work environment: Maintain a safe and healthy work environment, adhering to company safety policies and procedures.Assist in quality control: Assist in ensuring that civil, electrical & mechanical engineering projects meet quality, safety, and environmental standards.Qualifications GraduationBachelors degree (B.Tech degree/Engineering etc)What are we looking for?Excellent written and verbal communication skills.Strong data analytical and mathematical skills.MS Office expertiseHardworking and determinedINCO: “Cushman & Wakefield”
        


        
            Show more
          

          



        
            Show less",Junior Electrical Engineer,Entry Level,7,2025-10-08 15:06:50
Automation Engineer,DigiStay,"Dehradun, Uttarakhand, India",https://in.linkedin.com/jobs/view/automation-engineer-at-digistay-4306184896?position=7&pageNum=0&refId=YIkHsSW3vmwYfau3yNvjVg%3D%3D&trackingId=MhpgaJH2bjPiFib1ZvI7eg%3D%3D,"🚀 We're Hiring: Automation Engineering Intern📍 Location: Dehradun (Onsite) 💼 Experience: Some hands-on automation experience (projects, freelancing, or internships count!) 🎓 Qualification: Final-year student or recent graduate in CS/IT or related field 💰 Stipend: Based on skill & performanceAre you the kind of person who looks at a repetitive task and thinks, “I can automate this in 10 lines of Python”? At DigiStay, we’re on the lookout for curious minds who love solving real-world problems using Python, Selenium, and creative API hacks.🛠️ What You’ll Do:Get a real-world automation use case — then build it, mock APIs, and ship it!Write clean, functional Python code with a focus on automationUse Selenium to drive UIs and mimic human interactionsWork directly with our engineering and ops teams to save hours through automation✅ You Should Apply If:You’ve automated something — a booking script, data scraper, WhatsApp bot, anythingYou know your way around Python, Selenium, and APIsYou think clearly, debug quickly, and love solving logic puzzlesYou’re proactive, smart, and eager to learn on the go🌟 Why Join Us? At DigiStay, we love people who hate inefficiency. You’ll get real ownership, mentorship from tech leads, and a chance to build automation that makes a visible impact.📩 Interested? Send your GitHub, LinkedIn, or a short note about something cool you automated at ritika@digistay.ai#Internship #AutomationEngineer #Python #Selenium #DigiStay #TechInternship #DehradunJobs #ProblemSolvers #BuildThings



        
            Show more
          

          



        
            Show less",Junior Electrical Engineer,Entry Level,7,2025-10-08 15:07:01
Graduate Engineering Trainee - MEP,"Hill International, Inc.","Delhi, India",https://in.linkedin.com/jobs/view/graduate-engineering-trainee-mep-at-hill-international-inc-4308556162?position=8&pageNum=0&refId=YIkHsSW3vmwYfau3yNvjVg%3D%3D&trackingId=%2FJBiNl%2F4kNwgQiwJldf%2FAA%3D%3D,"Job DescriptionCarry out basic measurement of construction works by referring to standard methods such as IS 1200, POMI, or NRM2 and using CAD, CostX other measuring software. Assist in measuring individual trades including foundations, structural elements, masonry, and finishes.Support cost estimation activities by identifying basic material and labour rates and understanding rate analysis for standard work items.Support post-contract activities by understanding key contract terms and post contract work process flow.Assisting in the preparation of payment recommendation reports.Should have basic knowledge in CAD, Cost-X (qty take off tools) and other quantification / estimation software.QualificationsDegree in Electrical/Mechanical Engineering



        
            Show more
          

          



        
            Show less",Junior Electrical Engineer,Entry Level,7,2025-10-08 15:07:10
Electrical Engineering Co-Op Summer 2026 (Rehlko),Rehlko,"Pipar Road, Rajasthan, India",https://in.linkedin.com/jobs/view/electrical-engineering-co-op-summer-2026-rehlko-at-rehlko-4311306026?position=9&pageNum=0&refId=YIkHsSW3vmwYfau3yNvjVg%3D%3D&trackingId=zG1giyW%2BFz6V5JSoLhTbUA%3D%3D,"Why Work at RehlkoWe have met today's energy needs while planning for tomorrow's for over 100 years. Beginning with the first modern generator, the Rehlko Automatic Power & Light, launched in 1920, Rehlko has been an innovative leader in energy resilience. Our product range includes engines, generators, power conversion, UPS systems, EV components and electrification solutions, microgrid controls and management, clean energy solutions, and much more that serve a broad spectrum of OEM, residential, industrial, and commercial customers.Our priorities are global: the stability from steady energy sources and reliable back-ups. The power to be able to harness energy, and the freedom of not being dependent on an aging centralized grid. The confidence that clean energy solutions offer when it comes to a sustainable world, and the commitment to keep innovating towards greater impact.At Rehlko, our team members are the essential energy that powers our organization’s success. We are committed to fostering a safe and sustainable work environment where safety is everyone’s responsibility. We empower every team member to actively participate in our Zero Is Possible safety culture by encouraging open communication, proactively reporting hazards, following protocols, and suggesting improvements. Join us in creating an energy resilient world for a better future!Why You Will Love This JobWhat Sets Our Early Talent Program Apart?Our Early Talent Program Is Designed To Be a Transformative Experience—providing Real Impact, Professional Growth, And Meaningful Connections. Here’s What Makes It ExceptionalPersonalized MentorshipOne-on-one guidance from industry leaders committed to your growth.Impactful ProjectsHands-on work that directly contributes to Rehlko’s purpose of building an energy-resilient future.Professional DevelopmentAccess to workshops, training, and networking opportunities that accelerate both your skills and career readiness.Inclusive CultureAn inclusive, collaborative environment where every perspective is valued and every voice matters.Continuous FeedbackRegular coaching and check-ins to support your learning and long-term development.The Unique Spark You BringEnrollment RequirementMust be a junior, senior, or graduate student enrolled in an accredited college, university, or master’s program for the duration of the term, pursuing a degree in Electrical Engineering or a related field. Candidates must be legally authorized to work in the United States without the need for current or future visa sponsorship.Skill ProficiencyStrong analytical and problem-solving skills, attention to detail, and clear communication. Experience with circuit design, testing, or electrical systems is a plus.About UsRehlko proudly offers a rich history steeped in creativity and commitment to our associates and communities, along with competitive benefits and compensation. Our Purpose—Creating an energy resilient world for a better future—and Values: Curiosity, Trust, Pace, and Excellence, are important cultural components that shape the way we work and relate to one another. Learn more about Rehlko at https://www.rehlko.com/who-we-are. In addition to the investment in your development, Rehlko offers a benefits package including a competitive salary, health, vision, dental, 401(k) with Rehlko matching, and more!?""Rehlko is an equal opportunity employer that prohibits discrimination and will make decisions regarding employment opportunities, including, but not limited to, hiring, job assignment, compensation, promotion, benefits, training, discipline, and termination, without regard to race, creed, color, ethnicity, religion, sex, pregnancy, childbirth, or related medical conditions, genetic information, age, national origin, citizenship, ancestry, caste, mental or physical disability, marital or familial status, sexual orientation, gender identity or expression, genetic information, political belief or affiliation, union membership status, military status, veteran status, or any other characteristic protected by national, state, local, or other applicable laws.Our ValuesCuriosity – Seek, learn, shareTrust – Go farther togetherPace – Focus to go fasterExcellence – Find the win every day
        


        
            Show more
          

          



        
            Show less",Junior Electrical Engineer,Entry Level,7,2025-10-08 15:07:17
PCB Desgin Internship in Chennai,SURYA'S MiB ENTERPRISE,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/pcb-desgin-internship-in-chennai-at-surya-s-mib-enterprise-4311189646?position=10&pageNum=0&refId=YIkHsSW3vmwYfau3yNvjVg%3D%3D&trackingId=BcEdN3veTLIQVSzp%2B0O%2FsQ%3D%3D,"Selected Intern's Day-to-day Responsibilities Include Assisting in PCB design tasks, such as creating and modifying PCB layouts using design software Researching components, technologies, and industry trends relevant to PCB design and manufacturing Supporting the development of PCB prototypes by participating in assembly, testing, and troubleshooting activities Collaborating with experienced engineers to understand project requirements and contribute to the development of PCB designsNote: Need a bona fide or NOC from college. The selected applicant is only allowed. Others are considered to be private applicants.About Company: Our Enterprise became effective in 2022, initially focusing on basic building works. The founder of Surya's is Golla Kumar Bharath. As our enterprise grew, we expanded our services to include implementation work and marketing strategies for PCB. We are proud to announce that our company is now registered with UDYAM-MSME, Ministry of MSME, Government of India. Incorporation of the enterprise was on 01/06/2022. Date 01/06/2021. For the name of the enterprise, it may be described as a moment of life. There, Haven Enterprise primarily works on a remote (online mode) basis only.Vision: Our vision at Surya's Enterprises is to be the foremost provider of digital services and PCB solutions, renowned for our unwavering dedication to quality, creativity, and client satisfaction. We envision a future where technology enriches lives and drives progress, and we strive to be at the forefront of this evolution.
        


        
            Show more
          

          



        
            Show less",Junior Electrical Engineer,Entry Level,7,2025-10-08 15:07:24
