title,company,location,link,description,searched_for,experience_level_filter,days_back,scraped_at
Tester Fresher,Crisil,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/tester-fresher-at-crisil-4310426350?position=1&pageNum=0&refId=tUUOe7ocyTL7rCD6eZkyXA%3D%3D&trackingId=RJvD9Vl9bXEiUDk%2F4E2%2Blw%3D%3D,"Good knowledge on testing concepts and methodologiesStrong at creating test cases and scenariosGood knowledge of core java conceptsWell versed with Java scripting for SeleniumGood understanding of implementation of automation testingStrong understanding of Selenium web driverGood understanding of basic SQL queries
        


        
            Show more
          

          



        
            Show less",Junior Software Engineer,Entry Level,7,2025-10-09 12:20:37
Software Development Engineering (Web) Internship in Pune,brownbox consulting,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/software-development-engineering-web-internship-in-pune-at-brownbox-consulting-4312377530?position=2&pageNum=0&refId=tUUOe7ocyTL7rCD6eZkyXA%3D%3D&trackingId=1IyZbdQAXeg9cOQa4rBXDw%3D%3D,"Selected Intern's Day-to-day Responsibilities Include Design and execute test cases, test plans, and automation scripts. Contribute to the development of test automation frameworks. Assist in setting up CI/CD pipelines for automated testing.About Company: Brownbox Consulting was founded in 2019 by a team of experienced QA professionals who are passionate about delivering exceptional quality services to businesses of all sizes. Our team is dedicated to helping our clients succeed by providing customized solutions that meet their unique needs. We have a proven track record of delivering projects on time and within budget, and we are committed to delivering the highest level of service to our clients. If you want to work with a quality assurance consulting firm that truly cares about your success, contact us today.
        


        
            Show more
          

          



        
            Show less",Junior Software Engineer,Entry Level,7,2025-10-09 12:20:46
Software Engineer Intern (Frontend),PharmEasy,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/software-engineer-intern-frontend-at-pharmeasy-4309726517?position=3&pageNum=0&refId=tUUOe7ocyTL7rCD6eZkyXA%3D%3D&trackingId=%2FxqZgNM1gijLF9z7Vkq7ow%3D%3D,"PharmEasywww.pharmeasy.inPharmEasy is a consumer healthcare “super app.” Started with the sole purpose of making healthcare accessible and affordable to all, PharmEasy today is India's leading and most trusted online healthcare aggregator in the country. We provide on-demand, home-delivered access to a wide range of prescription pharmaceuticals, diagnostic test services, OTC pharmaceuticals, other consumer healthcare products, thereby serving your healthcare needs. Thus, through our services, we ensure you get access to the best and most genuine health products, with the highest savings in the shortest time possible. Today, we deliver medicines in 1000+ cities in India, covering 19000+ pin codes. We offer diagnostic test services across Mumbai, including Thane, Navi Mumbai, Kalyan & Dombivali, Delhi with Noida, Gurgaon, Faridabad & Ghaziabad, Chennai, Pune, Ahmedabad, and Gandhi Nagar, Surat, Vadodara, Lucknow, Kolkata, Hyderabad, Bengaluru, and Jaipur.Job Summary:PharmEasyWe are seeking a highly motivated and passionate Web Developer Intern to join our team. As a fresher, you’ll have the opportunity to learn and grow while contributing to exciting projects. You’ll work closely with our development team to create and maintain web applications that enhance user experience.Responsibilities:Collaborate with designers to translate design wireframes and mockups into responsive and interactive user interfaces.Write well-designed, testable, and efficient code using best software development practices.Optimize applications for maximum speed and scalability.Assist in testing and debugging to ensure high-quality product delivery.Ensure the technical feasibility of UI/UX designs.Write meaningful unit and integration tests.Monitoring and logging for frontend-related metrics and issuesParticipate in code reviews and contribute to a collaborative and inclusive team environment.Stay updated with the latest industry trends, technologies, and best practices in UI development.Requirements:Proficiency in front-end technologies (Reactjs, Next.js, HTML, CSS, JavaScript)Good understanding of one or more javascript frameworks.Basic understanding of server-side CSS pre-processing platforms, such as LESS and SASS.Good understanding of asynchronous request handling, partial page updates, and AJAX.Basic understanding of cross-browser compatibility issues and ways to work around them.Working Knowledge of version control systems such as Git.Basic understanding of UI/UX design principles and tools (e.g., Figma, Adobe XD).Good understanding of web security and web memory management.Basic Understanding of CI/CD pipelines



        
            Show more
          

          



        
            Show less",Junior Software Engineer,Entry Level,7,2025-10-09 12:20:55
Software Development Engineer Intern,HackerRank,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/software-development-engineer-intern-at-hackerrank-4306187935?position=4&pageNum=0&refId=tUUOe7ocyTL7rCD6eZkyXA%3D%3D&trackingId=TOQ3KdITNLRE%2B%2Fo1rEkRbw%3D%3D,"At HackerRank, we are on a mission to change the world to value skills over pedigree. We are a high-performing, mission-driven team that truly, madly, deeply cares about what we do. We don’t see velocity and quality as tradeoffs; both matter. If you take pride in high-impact work and thrive in a driven team, HackerRank is where you belong.Duration: 6 months (Jan-June 2026). Apply only if you are available full-time to work from our Bengaluru office for the entire duration.About The RoleWe’re looking for ambitious Software Development Interns who love writing clean, impactful code that other developers will actually use. You won’t shadow from the sidelines; you’ll actually design features, push production code, and solve problems that touch millions of developers every day. Your work will directly shape how developers learn, get hired, and grow their careers. This is a hands-on, high-impact, six-month sprint. It’s your chance to sharpen your engineering chops, collaborate with world-class mentors, and leave with a body of work that’s unmistakably yours.What You’ll DoFrom day one, you’ll be treated as a full member of the engineering team. Expect to:Own full-stack slices end-to-end- ideate, prototype, code, test, and launch production features.Tackle scale and performance- reduce latency, harden reliability, and optimize systems for real traffic.Prototype boldly and iterate rapidly- validate ideas with metrics, roll out experiments, and pivot fast.Push improvements constantly.Collaborate with product, design, and QA and participate in planning, specs, and reviews.Who You AreYou’re a pragmatic engineer who is inquisitive, hungry to learn and obsessed with craftSolid foundations in data structures and algorithms.Fluent in at least one modern language and committed to readable, maintainable code.Understanding of APIs, web services, and databases.A clear communicator and collaborative problem-solver who owns work end-to-end.Deeply care about your work and think beyond coding to product impact.An active contributor to open-source projects.Even better if you haveSide projects, open-source contributions, hackathon wins, or technical writing that show curiosity and impact.Practical experience using AI/ML tools or integrating LLMs into product flows.A smart sense of how to apply AI to your work.Knowledge of performance tuning, caching, and profiling.Previous internship or coding-challenge experience.How You’ll Grow HereWe treat interns like product engineers - you’ll be mentored, visible, and trusted with real responsibilities:Dedicated 1:1 mentorship with a senior engineer who guides your roadmap and craft.Ship features and improvements to production quickly- often in your very first month.Competitive stipend, insurance, two-way travel, and reimbursements.Learn how business goals connect to everything you build by the way of weekly company updates from leadership.Cross-team pairing and exposure to engineering, design, and product leaders.Public spotlight for your batch’s projects- every intern class since 2018 has a dedicated page on our site.Strong performers are fast-tracked for return offers or full-time roles.Past intern storiesWe want every intern to have a place in HackerRank’s story - that’s why we've kept a dedicated page for every intern batch since 2018, and yours will live on our website forever too. Check out what past interns built: 2025, 2024, 2022, 2021, 2018 and more.Hear From Previous InternsIshan (SDE Intern, 2021), Abhishek (SDE Intern, 2021), Adyasha (SDE Intern, 2021), Sindhu (SDE Intern, 2024), Khushboo (SDE Intern, 2024), Priya (SDE Intern, 2023).Interview prepWe know interviews can feel overwhelming, so we’ve created an Interview Prep Guide just for you. It walks you through the entire process, with tips and examples to help you put your best foot forward. Make sure to read it before you start!You can also try our Hiring Agent, a smart tool that shows how your resume stacks up on our evaluation grid. We highly encourage you to run your resume through it before applying, it’s a great way to spot strengths and gaps early.Insider tip: Want extra brownie points? Contribute to our GitHub project. Fork it, fix bugs, improve features, or suggest smarter ways to build. We actively look at contributions, and it’s one of the best ways to get noticed and even fast-tracked in the interview process.All the best!! We can't wait to see your application. Apply now!Got questions? Email internship-queries@hackerrank.com and you’ll hear from us soon.Want to learn more about HackerRank? Check out HackerRank.com to explore our products, solutions and resources, and dive into our story and mission here.HackerRank is a proud equal employment opportunity and affirmative action employer. We provide equal opportunity to everyone for employment based on individual performance and qualification. We never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines.Linkedin |X | Blog | Instagram | Life@HackerRank|Notice To Prospective HackerRank Job ApplicantsOur Recruiters use @hackerrank.com email addresses.We never ask for payment or credit check information to apply, interview, or work here.



        
            Show more
          

          



        
            Show less",Junior Software Engineer,Entry Level,7,2025-10-09 12:21:05
Software Engineer Intern (6 months),Moloco,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-intern-6-months-at-moloco-4290904978?position=5&pageNum=0&refId=tUUOe7ocyTL7rCD6eZkyXA%3D%3D&trackingId=Ej0FKLhf%2FfpBxPBrU6bQrg%3D%3D,"About Moloco: Moloco is a machine learning company empowering organizations of all sizes to grow and unlock the full value of their unique first-party data, elevating the traditional path to performance advertising. While the largest technology companies have proven the speed and scale of ad targeting using data, that same robust performance powered by machine learning has previously been unavailable beyond their platforms.That's where Moloco steps in. With Moloco's powerful combination of cutting-edge machine learning technologies, we play a unique and visible role in shaping the digital economy, all while enabling companies to stay independent and scale.An industry leader at the nexus of machine learning, performance marketing, and visionary product infrastructure, Moloco is advancing the advertising technology industry. We ranked in the top 10% of the Inc. 5000 fastest-growing private companies for 2023. We were recognized as one of 46 leading Cloud Computing companies, receiving the Stratus Award for 2023. That same year, we also received Google’s Cloud DevOps Dreamers Award, given to companies implementing DevOps practices to drive organizational success and high performance. Lastly, Moloco is a 2024-certified Great Place to Work!Moloco is headquartered in Silicon Valley, with offices in San Francisco, New York, Los Angeles, Seattle, London, Berlin, Seoul, Singapore, Beijing, Gurgaon, Bangalore, Tel Aviv, and Tokyo.Creating a diverse workforce and a culture of inclusion and belonging is core to our existence. To reach our goals, diversity of talent and thought is a critical component of how we operate as an organization. Our workforce is our superpower, and we know that fostering a culture of inclusion, authenticity, and belonging gives us the greatest opportunity to carry out our mission, to empower businesses of all sizes to grow through operational machine learning.Moloco is a truly rewarding place to work and in an exciting period of growth, which you could be a part of. Join us today and apply now!The Impact You’ll Be Contributing to Moloco:Moloco seeks exceptional Software Engineers to join us in building a state-of-the-art mobile advertising platform. You will be building world-class infrastructure which combines machine learning and big data to help companies supercharge their growth. Many leading service owners and marketers worldwide already benefit from Moloco’s innovative technology to scale performance quickly and efficiently through battle tested prediction models.As a company founded by Software Engineers, we understand the value of a strong engineering team and strive to hire only the best talent. You will be challenged to solve real-world problems with top-notch colleagues. Check out our case study published by Google https://cloud.google.com/customers/moloco/.The Opportunity:Write server-side code that handles millions of requests per second.Implement advertising functionality and customer-facing features.Learn and explore technologies to improve the services.Collaborate with internal/external cross-functional teams to make the best advertising products.How Do I Know if the Role is Right For Me?Pursuing BS/MS/PhD degree in computer science or related majors.Outstanding problem solving skills with proper data structures and algorithms.Excellent software development skills at least in one programming languageMajor/minor in Mathematics or relevant coursework/experience is a plusPreferred SkillsExpected to graduate within a year OR already graduated within a yearFluent in English (both verbal and written)Moloco Thrive: Benefits and Well-Being: We take care of you and create the conditions for you to do the best work of your career. Through a lens of inclusion, we offer innovative benefits that empower our employees to take care of themselves and their families so they can do the best work of their lives.Moloco Values: Lead with Humility: Everyone’s voice is respected, valued, and heard. With humility, we become more open and accessible to each other. We win, lose, and learn together. Accountability and feedback are essential to our success. Uncapped Growth Mindset: We see all situations as opportunities to learn, grow, and improve as individuals and as an organization. We seek diverse perspectives, encourage curiosity, and promote experimentation to push the boundaries of what’s possible. Create Real Value: We pursue the most impactful opportunities with rigor and integrity. We take intelligent risks and make disciplined trade-offs to maintain deep focus. We help our customers win by delivering durable value. Go Further Together: We’re one team working towards one mission and vision. We collaborate proactively and inclusively, involving the right people at the right time and in the right way. We strive to create a more equitable workplace. We won’t let each other fail. Additional Resources: Moloco Company Blog Moloco LeadershipMoloco Newsroom Equal Opportunity: Moloco is an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, color, creed, religion, national origin, age, sex and gender, gender expression and identity, sexual orientation, marital status, ancestry, physical or mental disability, military and veteran status, or any other characteristic protected by law.Candidate Privacy Notice:Your privacy matters to us. By applying, you acknowledge that you’ve reviewed our Candidate Privacy Notice.
        


        
            Show more
          

          



        
            Show less",Junior Software Engineer,Entry Level,7,2025-10-09 12:21:13
Full Stack Developer (Internship),CloudRedux,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/full-stack-developer-internship-at-cloudredux-4308733905?position=6&pageNum=0&refId=tUUOe7ocyTL7rCD6eZkyXA%3D%3D&trackingId=7hDwqQ6tDbis6G9N%2Bu3FYA%3D%3D,"Job Title - Full Stack DeveloperOur Recruitment ProcedureApplication Submission → HR Screening Call → Interview → Assignment → Onboarding ProcessWhen it pours, it rains. We believe creativity is the key to truly understanding a product/service, and of course, taking it to its true potential. In that journey to match the A’s to the Z’s, we often find ourselves looking for like-minded, quirky, witty, humorous, sometimes sarcastic, but committed to their work professionals (Aye, some decency should be there, right?).Who Are We?CloudRedux ventures into the field of solutions. We don’t believe in creating and selling a basket of goods and services. We create solutions that drive change, solutions that matter!People of CloudRedux work smart and party with passion..! And that’s why we’re not an ‘it’, i.e., a non-living thing, we are an organism, living, breathing, and loving what we do.Whether it be creating something new, or tuning and modifying something up and running, we do it all. Letting our thoughts become things - big things, we are a one-stop house to tickle your creativity, inquisitiveness, and of course, credibility.Innovation stands at the core of our business & professionalism is what supports the wireframe of our organizational architecture.Key ResponsibilitiesStrong HTML 5.0 skillsSolid understanding of data structures, algorithms, databases and other fundamentals for writing optimized JavaScript code.Know-how of frontend technologies and a fair full stack development experience.Must have experience in React.js and/or Node.js frameworkStrong customer focused approach, excellent problem solving and analytical skills.Software development lifecycle and usage of industry best practices for coding and application design.UI framework development, performance optimization techniques and methods.Should be able to prototype creative solutions quickly, and be able to collaborate with others in crafting and implementing your technical vision.Preferred SkillsExperience in developing/building SPAs to medium to large scale web applications in React, Angular and/or Next.Understanding of importance and implementation of accessibility and security compliance in web applications.Strong (or intermediate) proﬁciency with web related protocols and architectures (MVC, RESTful APIs, JSON, HTTP)Advanced ReactJS and knowledge of related libraries (storybooks/redux/thunk/saga/router).Experience with GraphQL, and Typescript or other typed languages is highly valuedAdvanced CSS-in-JS (styled-components/emotion js) knowledge.Working experience with Git, CI/CD and other similar workﬂows.PerksCertiﬁcate and Letter of Recommendation.5 Days a weekPaid InternshipNot soo Formal Dress Code (+ Monday Motivation)Achieve Full-Time employee status at CloudRedux! (Based solely on your performance)As you must’ve noticed, we’re picky people, especially more when it comes to our team. So, you will start as an Intern, but you always have the opportunity to become a FULL-time member. Everything depends upon your performance and other secret vetting checks that we do, hahaha!Quick thought: Why an internship?Quick answer: Because, why not! We need to know you, you need to know us. And before we go into a commitment (FTE ➡ Full-Time Employee), this is important!
        


        
            Show more
          

          



        
            Show less",Junior Software Engineer,Entry Level,7,2025-10-09 12:21:19
PYTHON DEVELOPER INTERN,Elevate Labs,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-intern-at-elevate-labs-4307983461?position=7&pageNum=0&refId=tUUOe7ocyTL7rCD6eZkyXA%3D%3D&trackingId=OP4hYJd8qM1hBkpxOuqcng%3D%3D,"Python Developer Internship Opportunity (Remote, 45Days – Unpaid)✅ No THOUSANDS OF registration fees, no THOUSANDS OF joining fees, no course purchases — this is a 100% skill-focused internship designed to give you hands-on experience in Python Development using real-world applications and industry-relevant tools.📍 Location: Remote⏳ Duration: 45 DAYS💸 Compensation: Unpaid🎓 Eligibility: Open to all 1st, 2nd, 3rd, and 4th Year Students, as well as Recent Graduates🔍 About the Internship:Elevate Labs offers a practical and project-based Python Development internship that enables participants to develop core programming skills through real tasks and mentorship. You’ll work on logic building, script writing, automation, and backend logic using Python in applied environments.🎯 No fluff — just clean coding, problem-solving, real use-cases, and tools that help you build a solid developer profile.✨ What You’ll Gain:✔️ MSME Registered Internship Certificate✔️ Letter of Recommendation (LOR) for top performers✔️ Top Performer Badge to enhance your resume and LinkedIn profile✔️ Opportunity for a Full-Time Role — Top 10 performers will be considered🌟 Who Should Apply?Students from any year (1st–4th)Recent GraduatesAnyone interested in Python Development, Automation, or Backend Engineering🧠 Skills You’ll Practice:Core Python (Syntax, Data Structures, OOP)File Handling, Error HandlingBasic Scripting and AutomationWorking with APIs and JSONIntro to Web Development using Flask or Django (Basics)Database Connectivity (SQLite / MySQL)Version Control with Git and GitHub🔧 Tools & Technologies:Python Flask / Django (Intro level)SQLite / MySQLPostman for API testingJupyter Notebook / VS CodeGit, GitHub🚀 Ready to write efficient code, automate tasks, and develop real-world Python applications?This internship is your chance to strengthen your programming foundation and gain practical experience as a Python Developer.n skills



        
            Show more
          

          



        
            Show less",Junior Software Engineer,Entry Level,7,2025-10-09 12:21:29
SQL DEVELOPER INTERN,Elevate Labs,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sql-developer-intern-at-elevate-labs-4307978636?position=8&pageNum=0&refId=tUUOe7ocyTL7rCD6eZkyXA%3D%3D&trackingId=waH%2BEQEiZE6oHGXHa%2BNEow%3D%3D,"SQL Developer Internship Opportunity (Remote, 45 Days – Unpaid)✅ No THOUSANDS OF registration fees, no THOUSANDS OF joining fees, no course purchases — this is a 100% skill-focused internship designed to give you hands-on experience in SQL Development using real-world data and industry-standard tools.📍 Location: Remote⏳ Duration: 45 DAYS💸 Compensation: Unpaid🎓 Eligibility: Open to all 1st, 2nd, 3rd, and 4th Year Students, as well as Recent Graduates🔍 About the Internship:Elevate Labs offers a practical internship tailored to individuals interested in database development and SQL. This internship provides real exposure to working with relational databases, writing optimized queries, designing schemas, and managing data through hands-on tasks and mentorship.🎯 No fluff — just database logic, query optimization, data handling, and best practices for real-world applications.✨ What You’ll Gain:✔️ MSME Registered Internship Certificate✔️ Letter of Recommendation (LOR) for top performers✔️ Top Performer Badge to enhance your resume and LinkedIn profile✔️ Opportunity for a Full-Time Role — Top 10 performers will be considered🌟 Who Should Apply?Students from any year (1st–4th)Recent GraduatesAnyone interested in SQL Development, Databases, or Data Engineering🧠 Skills You’ll Practice:Core SQL Syntax and Commands (SELECT, JOIN, GROUP BY, etc.)Writing and Optimizing Complex QueriesDatabase Design and NormalizationStored Procedures, Views, and Triggers (Intro)Data Filtering, Sorting, and AggregationUnderstanding Relational Database ConceptsBasic Data Modeling and Schema Design🔧 Tools & Technologies:MySQL / PostgreSQL / SQL ServerDBMS Tools (MySQL Workbench, pgAdmin, etc.)SQL Query EditorsGit, GitHub (for script versioning)Optional: Basics of Python/Excel for Data Handling🚀 Ready to query, analyze, and manage data with precision?This internship offers practical SQL development experience and prepares you for roles in data analytics, backend development, or database administration.



        
            Show more
          

          



        
            Show less",Junior Software Engineer,Entry Level,7,2025-10-09 12:21:40
Frontend Intern,GreedyGame,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/frontend-intern-at-greedygame-4309499546?position=9&pageNum=0&refId=tUUOe7ocyTL7rCD6eZkyXA%3D%3D&trackingId=O3pyeGaD7X4P%2FhsnosV8aQ%3D%3D,"Location: Bangalore (Hybrid)Team: Core Engineering | Reports to: CTO (Arpit Chaudhary) 🚀 About the Company:GreedyGame founded in 2013 by Arpit Jain [CEO] is a leading ad-tech company that's been driving app growth and monetizationWe’ve built a sustainable and profitable business for over 7 years without chasing vanity metrics and successfully completed our 0→1 journey, we’re now scaling rapidly (1→10 phase)As a Google Publishing Partner, we serve 100M+ daily ad impressions and support 5,000+ apps and games worldwide—delivering up to 75% revenue upliftTrusted by brands like Amazon, Dream11, MPL, Sharechat, Treebo, Mobikwik, and 1000+ publishers across 20+ countries.🧠 The Products You’d Help Build: Pubscale - Our Flagship ProductEnables effective monetization, user acquisition, uplift revenue and analyzes business growth all in a single place.🔹 Immersive AdsNative, non-intrusive ad formats with features like smart caching, priority loading, and adaptive refresh deliver better UX and higher monetization without annoying popups🔹 OfferwallA reward-based engagement layer that monetizes non-paying users through personalized, high-conversion tasks—driving eCPMs up to $1000 in Tier 1 geos and up to 3X more revenue in emerging markets🔹 AdX & GROWMonetization via Google Ad Manager + premium demand partners and an AI-driven UA engine (GROW) with free credits and optimization support🛠️ ResponsibilitiesAssist in developing responsive and user-friendly interfaces for web applications.Collaborate with designers and backend engineers to implement UI designs and integrate APIs.Support the team in maintaining and improving existing frontend codebases.Learn and apply best practices around accessibility, performance, and cross-browser compatibility.Participate in debugging and troubleshooting tasks under guidance.Contribute to improving user experience by optimizing UI behavior and load times.Take part in code reviews and team discussions to learn clean coding principles and frontend architecture.🎯 RequirementsBasic understanding of HTML, CSS, and JavaScript (ES6+).Familiarity with React and ideally some exposure to Next.js or similar frameworks.Awareness of responsive web design principles.Comfortable using Git and GitHub for version control.Enthusiastic about learning modern frontend practices, tools, and frameworks.Currently pursuing or recently completed a degree in Computer Science, IT, or a related field (or have equivalent project experience) with Tier 1 College.Strong attention to detail, eagerness to learn, and passion for frontend development.✨ Bonus PointsExposure to Tailwind CSS, Redux, or build tools like Vite/Webpack.Experience working on personal or academic projects hosted on GitHub.Awareness of SEO, SSR, or tools like Lighthouse/PageSpeed Insights.Interest in backend concepts or full-stack development.🌟 What Makes You a Great FitYou’re a strategic thinker who balances technical decisions with long-term maintainability.You adapt quickly to changing requirements and enjoy working in fast-paced, evolving environments.You’re a clear communicator—able to break down complex ideas for both technical and non-technical stakeholders.You care deeply about user experience, product quality, and business impact, not just shipping code.🎁 Why GreedyGame?Opportunity to work on products used by millions – see: PubscaleOwnership from Day 1 – shape architecture, strategy, and key decisions



        
            Show more
          

          



        
            Show less",Junior Software Engineer,Entry Level,7,2025-10-09 12:21:51
Frontend Developer Intern,CODEXINTERN,India,https://in.linkedin.com/jobs/view/frontend-developer-intern-at-codexintern-4310319595?position=10&pageNum=0&refId=tUUOe7ocyTL7rCD6eZkyXA%3D%3D&trackingId=iGUsAS8fPJd%2FrEz7004dDw%3D%3D,"Job Title: Front-End Developer InternCompany: CODEXINTERNLocation: Remote/VirtualStipend: UnpaidDuration: 1 MonthCompany Description:CODEXINTERN is an innovative e-learning platform dedicated to empowering the next generation of developers. We specialize in hands-on internships across Frontend, Backend, and Full-stack Development, helping aspiring tech professionals gain real-world skills and experience.Role Description:Are you a college student passionate about web development? Eager to learn, grow, and build real-world skills? Join CODEXINTERN as a Front-End Intern! This opportunity is ideal for beginners looking to enhance their knowledge and dive deeper into the world of web development.Responsibilities:Assist in building dynamic web applications using HTML, CSS, and JavaScript, React, TailwindCollaborate with mentors and peers to tackle real-world coding challengesContribute to projects that have a direct impact on the company’s missionRequirements:Currently enrolled in a college or university programBasic understanding of HTML, CSS, and JavaScript (Optional ReactJs, AngularJs, or VueJs)Enthusiastic, self-motivated, and eager to learnWhy join us ?Gain mentorship from industry professionalsFlexible work schedule to fit around your studiesWork on meaningful projects with real-world applicationsReceive a certificate of completion and potential future employment opportunitiesGoodies for eligible interns upon successful completionHow to Apply ?If you’re ready to kickstart your web development journey, apply now and be part of a growing community of tech enthusiasts!



        
            Show more
          

          



        
            Show less",Junior Software Engineer,Entry Level,7,2025-10-09 12:21:58
